,Age,gender,number,ID1,ID2,satisfaction,partnerliking,mutuality,relationship length,commitment,honesty,love of learning,partnerIT,partnerOC,selfIT,extroversion,agreeableness,conscientiousness,stability,openness,ID3,ID4,satisfaction2,partnerliking2,mutuality2,length2,commitment2,honesty2,love of learning2,partnerIT2,selfIT2,extroversion2,agreeableness2,conscientiousness2,stability2,openness2,age2,gender2,extroversiondiff,agreeablenessdiff,conscientiousnessdiff,stabilitydiff,opennessdiff,satisfactiondiff
141,55-64,Male,91,613b04fb42857efe1c632f0d,5f2b290cfa2da353b95121b8,5,6.8,6.4,6,5.8,6.7,7,7,7,6,6,7,7,7,7,5f2b290cfa2da353b95121b8,613b04fb42857efe1c632f0d,3,4.8,4.8,6,6.4,5.1,5.666666667,6,5.833333333,6,6,4,5,3,55-64,Female,0,1,3,2,4,2
142,35-44,Male,92,61fa913ed42cb19beec49321,60fd0c56b996175b00fd45db,4.5,6,5.2,6,6.8,6.4,6,6,6,6,4,6,6,5,3,60fd0c56b996175b00fd45db,61fa913ed42cb19beec49321,4,5.6,5,6,6.4,5.1,5.333333333,5,5.666666667,2.5,5,5.5,3.5,4.5,25-34,Female,1.5,1,0.5,1.5,-1.5,0.5
143,35-44,Female,93,5f16b333f4df838489624bc3,61030ea0fd598c32549577b8,5,6.8,6.8,6,7,6,6.333333333,6,3,6.166666667,4,3,3.5,2,3,61030ea0fd598c32549577b8,5f16b333f4df838489624bc3,4.5,7,6,6,7,5.7,7,6,6,3.5,5,5.5,6.5,5,35-44,Male,0.5,-2,-2,-4.5,-2,0.5
144,35-44,Female,94,614b8a7c2310c0d3c4d8f418,61497d590e7ac97e0baa1d75,5.25,6.4,7,6,7,6.8,7,5,3,6.833333333,5.5,2.5,6.5,3.5,3,61497d590e7ac97e0baa1d75,614b8a7c2310c0d3c4d8f418,4.75,7,6.4,6,7,5.7,5.333333333,6,5.5,3,5,6,5,5.5,45-54,Male,2.5,-2.5,0.5,-1.5,-2.5,0.5
145,25-34,Male,95,5f1072dbfd703f084bb995f7,5f11e7c45f0aa10d57a758ae,4.75,7,6.8,6,7,5.7,6,6,6,6.5,4,4.5,3,5.5,5,5f11e7c45f0aa10d57a758ae,5f1072dbfd703f084bb995f7,5.5,7,6.8,6,7,5.9,6,6,6,5.5,3.5,4.5,4,3,25-34,Female,-1.5,1,-1.5,1.5,2,-0.75
146,25-34,Male,97,62bdc30224534809032cf056,63d152150ad28a2b24aa507a,5,6.8,6.2,6,7,5.111111111,6.333333333,7,6,5.5,2,6.5,3.5,4,4.5,63d152150ad28a2b24aa507a,62bdc30224534809032cf056,5,6.8,6,6,7,6.2,5.666666667,6,5.333333333,4,2,6,1,7,25-34,Female,-2,4.5,-2.5,3,-2.5,0
147,45-54,Female,98,5eac47d12b68452804cffeef,5e9fec0f0450b519deaa43a5,4.75,6.6,6.4,6,7,5.6,5,6,7,4.166666667,2.5,4.5,4.5,2,4.5,5e9fec0f0450b519deaa43a5,5eac47d12b68452804cffeef,4.5,6.8,6.8,6,7,6.3,7,6,6.166666667,1,5,6.5,4.5,6.5,35-44,Male,1.5,-0.5,-2,-2.5,-2,0.25
148,18-24,Female,99,611bfde4df6bf228c6d43797,5f31233084da6004d4e59bc0,5.25,7,6.8,4,7,5.6,7,7,7,7,3.5,4.5,3.5,3,6.5,5f31233084da6004d4e59bc0,611bfde4df6bf228c6d43797,5.5,7,7,4,7,6.2,6.333333333,7,5.666666667,2.5,6.5,4,1.5,7,18-24,Male,1,-2,-0.5,1.5,-0.5,-0.25
149,35-44,Female,100,6151f20d06757e43aa1f54f9,614ae8dbcd4d31f05be56645,4.75,6.2,6.6,6,7,5.9,4.666666667,7,7,4.166666667,3.5,6.5,4,6,4.5,614ae8dbcd4d31f05be56645,6151f20d06757e43aa1f54f9,4.75,7,6.6,6,7,6.6,6,5,4.666666667,5.5,4,4,4,5,35-44,Female,-2,2.5,0,2,-0.5,0
150,55-64,Female,101,5ea925adf0ff0739ccf94b45,5eb50e5315a3c137f40cbad3,5,7,5.6,6,7,6.3,4.333333333,6,6,5,3.5,4,2.5,5,4,5eb50e5315a3c137f40cbad3,5ea925adf0ff0739ccf94b45,5.25,7,6.2,6,7,6.4,5.333333333,5,6,3.5,5,5.5,3,4,55-64,Male,0,-1,-3,2,0,-0.25
151,35-44,Female,102,5ee531ca5f4c6f0be142ded4,5ea0f529a13fc00f917f602a,4.75,6.4,6.6,6,7,6,7,6,5,6,3,4.5,7,3,4,5ea0f529a13fc00f917f602a,5ee531ca5f4c6f0be142ded4,4.75,7,7,6,7,6.3,NA,6,7,2,4.5,7,3.5,6.5,45-54,Male,1,0,0,-0.5,-2.5,0
152,35-44,Male,104,5ea6f6a61ea69108df909829,5eb6bfd8e38e9f5c8cb64b15,5.5,7,6.8,6,7,5.5,6,7,5,6.333333333,2,4,4,5.5,3.5,5eb6bfd8e38e9f5c8cb64b15,5ea6f6a61ea69108df909829,5.5,6.8,6.8,6,7,5.7,6.333333333,6,5.833333333,3,5,4,4,5,35-44,Female,-1,-1,0,1.5,-1.5,0
